district_type,nbr_floors,units,hospital,bld_age,Elevator,Parking,Security,CCTV,Pool,Sauna,Gym,Garden,Playground,Shop,Restaurant,Wifi,floor*age,Aver_trans,Aver_food,Aver_school,Aver_shop,price_sqm
3,8,394,1,5,1,1,1,1,1,0,1,1,0,1,0,0,40,3.88,0.795,0.818,1.044,76898
3,7,108,3.1,10,1,1,1,1,0,0,0,0,0,0,0,0,70,2.92,0.325,0.672,1.82,65957
3,32,362,1.3,22,1,1,1,1,1,1,1,1,1,0,0,0,704,1.94,0.36,0.848,0.75,67585
3,50,490,2.3,5,1,1,1,1,1,0,1,1,1,1,1,1,250,0.878,0.5625,1.052,0.858,137500
3,8,98,2.2,11,1,1,1,1,1,1,1,0,0,0,0,1,88,2.04,0.6075,1.342,1.38,60217
3,27,236,2.2,6,1,1,1,1,1,1,1,1,0,0,0,1,162,1.492,0.2015,1.006,1.716,102727
3,7,60,3.2,12,1,1,1,1,0,0,0,0,0,1,0,0,84,1.458,0.61,1.32,0.844,59358
3,8,339,2.4,10,1,1,1,1,1,0,1,1,0,0,0,0,80,0.326,0.036,0.716,0.704,100000
3,24,418,3.1,9,1,1,1,1,1,0,1,1,1,1,0,1,216,1.392,0.305,0.984,0.812,103627
3,8,154,4,10,1,1,1,1,0,0,1,0,0,0,0,1,80,2.86,0.205,0.812,0.908,51982
3,8,175,2.5,6,1,1,1,1,1,0,1,1,0,0,0,1,48,1.496,0.4545,0.994,1.42,80749
3,21,366,2.3,23,1,1,1,1,1,0,1,0,1,0,0,0,483,2.1,0.7275,1.446,1.44,41935
3,8,129,2.5,5,1,1,1,1,1,0,1,1,0,0,0,0,40,1.494,0.4795,0.978,1.36,82834
3,32,456,2.7,8,1,1,1,1,1,1,1,1,1,1,0,1,256,0.604,0.28,0.828,0.876,132500
3,12,474,2.3,9,1,1,1,1,1,1,1,1,1,1,1,1,108,1.766,0.51,1.138,2.316,83892
3,8,125,2.3,6,1,1,1,1,1,0,1,1,0,0,0,1,48,1.396,0.6145,0.788,1.32,76316
3,28,1827,0.7,8,1,1,1,1,1,1,1,1,1,1,1,1,224,2.38,0.1725,0.432,0.412,99524
3,34,864,0.77,1,1,1,1,1,1,1,1,1,1,1,0,1,34,0.978,0.5575,1.184,0.936,161563
3,44,313,2.5,5,1,1,1,1,1,0,1,1,0,0,0,1,220,1.168,0.41,0.782,0.408,166564
3,8,66,2.7,9,1,1,1,1,1,1,1,1,0,1,1,1,72,1.922,0.7325,1.208,2.134,70000
3,8,79,2.5,10,1,1,1,1,1,0,1,1,0,0,0,0,80,1.84,0.4825,1.176,2.37,59843
3,8,378,2.6,10,1,1,1,1,0,0,1,1,0,1,0,0,80,2.028,0.62,1.272,2.566,65286
3,8,136,1.3,21,1,1,1,1,0,0,0,0,0,0,0,1,168,1.652,0.58,1.5,1.38,33032
3,11,167,4,25,1,1,1,1,1,0,1,0,0,1,1,1,275,3.62,0.65,1.276,1.86,24429
3,8,303,1.4,22,1,1,1,1,1,0,1,0,0,0,0,1,176,1.752,0.205,1.26,1.38,47581
3,9,834,1.5,11,1,1,1,1,1,0,1,1,0,1,1,1,99,4.4,0.9825,1.54,1.484,60032
3,28,195,3.1,25,1,1,1,1,1,0,1,0,0,0,0,1,700,2.48,0.95,1.226,2.22,39134
3,9,210,4,23,1,1,1,1,0,0,0,0,0,1,0,0,207,3.78,0.3925,1.12,1.268,16744
3,8,1031,1.5,10,1,1,1,1,1,0,1,1,0,0,0,0,80,3.02,26.325,1.27,2.68,31452
3,29,728,2,9,1,1,1,1,1,1,1,1,1,0,0,0,261,1.066,0.352,1.028,0.8,96875
3,28,224,1,19,1,1,1,1,1,1,1,0,0,0,0,1,532,3.64,0.7925,0.904,1.128,49242
3,30,285,1.5,23,1,1,1,1,1,1,1,1,1,1,1,0,690,2.2,0.4,1.06,0.96,69338
3,8,79,1.4,8,1,1,1,1,1,0,1,1,0,0,0,0,64,1.768,0.2125,1.24,1.32,102247
3,8,322,0.78,4,1,1,1,1,1,0,1,1,0,0,0,0,32,3.72,0.555,0.828,0.894,77727
3,26,1456,1.6,9,1,1,1,1,1,0,1,1,0,1,1,1,234,4.56,1.1375,1.84,1.618,68182
3,33,828,3.5,7,1,1,1,1,1,1,1,1,1,1,1,1,231,2.14,0.705,0.8006,2.04,68252
3,4,194,4,26,1,1,1,1,0,0,0,0,0,0,0,0,104,2.46,0.625,1.228,2.76,56234
3,43,841,1.9,1,1,1,1,1,1,0,1,1,1,0,0,0,43,0.912,0.4475,1.194,1.152,201811
3,9,248,2.5,22,1,1,1,1,0,0,0,0,0,1,0,1,198,1.7,0.44725,0.6226,1.54,35832
